id,followers,genres,name,popularity
0FtcQko2Wq1Wz2ByA2hzly,1.0,[],Matth,0
0FuOtcekzQPV88pvwoWdrv,4.0,[],Javier Jofré,0
0FuWWsAZFQbQfUFhONI6pu,4.0,[],Kamlesh Rajbhar,0
0FubKw8QsNSjeGd6XZ55rx,0.0,[],Big Chad Daminko,0
0FuodMZtQAg59EcfcGsxDB,1.0,[],Starlin Browning,0
0FvnGcM4CRonJDq4vFmXbI,0.0,[],Jhayla Simmons,0
0FvsVWobzdZkG4DdovqSKd,2.0,[],Banda Arrepio do Forró,0
0Fw4jGXXHGWmSVGNatwqVZ,0.0,[],Htweezy,0
0FwQCDim58OUiXj9jcfsPm,0.0,[],若林潤,0
0FwRZNm6qVL1Lbq2dmWIqP,0.0,[],Archan Trivedi,0
0FwT5eGbftBUVsWAVLqf5p,0.0,[],Eniks,0
0FwfQahyfRMBfwS35GdXwL,14.0,[],Estodoynada,0
0FwpYhP41wVFvqUIzufbzY,0.0,[],Nouaamane Media,0
0FwyyQGLxYxavQyVUrBCYu,0.0,[],Flat Region,0
0FxgbHEKHPV4NUyXcr4uUj,5.0,[],Calvin Es,0
0FxhAfvCH5BCMAda7fH0W8,0.0,[],Tony Fcee,0
0KqbCJ52M2IeX9MZOQYFXi,0.0,[],Relaxing Music Playlist Artisanal,0
0Kr1sWSwNTv46gdNH1udlL,0.0,[],Bharti Prajapati,0
0Kr4BIMlQVjRalTBKbJQ6u,0.0,[],Ava Bell 5,0
0Kr56HcJFhJLcAaLWwxOUM,1.0,[],MellowSavage,0
0B1Yk8Wm3duNXMsUns1r7a,0.0,[],Mr. Masuka,0
0B1xlavPmlfLaytmmxjX81,0.0,[],Seductive Jazz Deluxe,0
0B2Hbk3PbHwWG987SX5pGY,1.0,[],Wowzaz,0
0B2SazkeE2aELoTYdrP0TT,3.0,[],MomoThabizness,0
0B2egobfEz4vuhXtGARf6U,0.0,[],Winter's Embrace,0
0B2jd6uGKVNIpowxnHH4rX,0.0,[],Jayco Brim,0
0B2z8yGCFIgtSZqRLfa98d,22.0,[],Amusia,0
0B3KhPH71OuJsEUYH5M3ah,0.0,[],Música A La Onda para Cafe en Mexico City,0
0B3KnObNDWKSz47DAGiMif,0.0,[],"2glockpop, Marketstbaby",0
0B3NE8MZszXGozdifpSq99,1.0,[],Za Uglom 66,0
0B3OaTKxteuyxtESPeiYIf,0.0,[],BeatzShack Presents,0
0B3TF8qPj1HJW652JwwXta,3.0,[],Adi Infinity,0
0B3b39Vu0cR5cEOLe2IOte,0.0,[],BELA B,0
0B3mPaK7YDs7YfAoaqbCin,0.0,[],BCA 3,0
0B3qKcTJ3I9cvqQJAKl4Xn,0.0,[],Kojiro Imamura,0
0B3qxQlp9muHNlIf5GwuUR,3.0,[],Jessica Strickland,0
0B3z2HkBKAYbJ02MGmy7dF,0.0,[],yurlocalgothboi,0
0B41ufpdRfR8aSUrED52GD,0.0,[],コーヒーショップラジオ,0
0B43vUzpw7rJIQf10T6o6r,0.0,[],V-Soundz,0
0B47rVVWS4gZSQqG5XYs1P,0.0,[],Jayram Kumar,0
0B485sWC9NXT6dyoXE0Fh8,0.0,[],Fcd Lil Willow,0
0B4BFze8UUPA1e0JdnT3Nq,0.0,[],Yvng Lonuh,0
0B4CfoGghSLfOoUN9724y5,1.0,[],Thajudheen Vatakara,0
0B4ECAcylVGW0z5lYNKH0m,0.0,[],Nate Aifili,0
0B4gli5I5cw6gVHfm43osg,0.0,[],Vijay babu,0
0B4hGc7tk3RUvTYaIyrsa2,1.0,[],Mello Maxx,0
0B4kGQALwjlFZOs36PVSxT,1.0,[],BIZARRE,0
0B4lsxG1vDuDwYLo93kJ1D,0.0,[],GUCCIX,0
0B4rYUMYtZqEPhBjpcrPpC,0.0,[],Korolla X,0
0B4w8JnSwntietSAmGY1pr,0.0,[],Iamnaturalblessin,0
0B4xWSHnbQHh34qbQpHKag,0.0,[],Jamoe the Great,0
0B4xkzXZumgmbomaSPPiB6,0.0,[],Chhappan,0
0B532ckP7k6dxUMDXQ5RtR,0.0,[],ItiOne,0
0B5FKB96h6CZ7PAx5w3hpO,0.0,[],Sergio AKA Mr. Magic,0
0EunAJmKXLqZlvxhYDgP93,0.0,[],Rich J,0
5bKSpGcoMqXQThrsuRGgdl,0.0,[],Achala Sachdev,0
22mLrN5fkppmuUPsHx6i2G,59.0,"['classical harp', 'harp']",Vera Dulova,3
7DLDYPMRJ0NFPcBTlg04DE,187.0,[],Guru Dutt,2
1OCPhFtvkZDLUJJkrJfD2G,155.0,[],The De Castro Sisters,8
4PiJnql6Z3yQ1okaLjPHpD,12.0,[],Orchestra Sinfonica,9
7eXSIjGrfSvF1xDDIJwBxC,0.0,[],Teddy Stewart Orchestra,16
1OsJZxSshQD4BCg1VtwxsN,155.0,['classical contralto'],Anna Larsson,19
5JRTWjFYThNR99D7IOEmn0,106.0,['british choir'],BBC Chorus,16
1QWmCjjcNmh4kzYX1Q9VFJ,1691.0,[],Mariachis,6
4sTTEheJxmjwv9TmrHOaPz,288.0,"[""children's story""]",Honor Blackman,15
3PJ8OSq1gHjL4CIyn1S2bR,265.0,[],Andrew Brown,16
07l4IjPHWrdFqxDd68UNIJ,893.0,[],The Rocky Horror Show Ensemble (2000),27
3iJQfxx1txyDedbjCf6wD7,219.0,[],Ustad Bahauddin Qawal,3
3zQdpHMTdJnV4aCzGqCBYK,3918.0,"['classic persian pop', 'persian traditional']",Javad Maroufi,26
17OXC3oLAPMOQwqmzcsoxo,735.0,[],Karen Peck,22
18A0k2YX3jZYBrKz1h0Fp4,265.0,[],Stavros Ksarhakos,19
1pCXaoB8RV6mkcasIuqrsT,907.0,[],Stephen Hill,27
1RRQMvuWQBNWAMVWLIgCLj,1185.0,[],The Sign Posters,34
7frYUe4C7A42uZqCzD34Y4,53636.0,"['desi pop', 'punjabi hip hop', 'punjabi pop']",Sultaan,53
6acbdy69rtlv8m9EW31MYl,72684.0,"['afro dancehall', 'afropop', 'azontobeats', 'nigerian hip hop', 'nigerian pop']",Phyno,51
72578usTM6Cj5qWsi471Nc,248568.0,"['filmi', 'indian folk', 'indian rock', 'kannada pop']",Raghu Dixit,52
4rK6HLvoZhLFUTcUhG9WfC,5644.0,[],Deacon,52
6iv4lysB1yHXoZJ2gfqTdh,786.0,['indian fusion'],Shashwat Singh,56
7b6Ui7JVaBDEfZB9k6nHL0,701766.0,"['desi pop', 'hindi indie', 'indian indie', 'indian rock', 'new delhi indie', 'sufi']",The Local Train,57
1lNpPgcIPULhVgDxvI7xLs,4196.0,['russian electronic'],Monoplay,32
0tuUIxmkyJOzUoJO1kdAi4,123.0,[],Haile,37
0YdFvpH7MvXv5vBsfGvt7g,1009.0,['swedish electropop'],Alice Berg,41
2m7KAO7EiviB48ITkqTotr,26438.0,[],Gym Music,31
4bvGDTEPFnllKiJaEZGuXk,6395.0,['indian folk'],Achint,49
6SdRVw4NGUDFrTbWHXaUbH,30651.0,"['khaliji', 'sheilat']",Abdullah Al Mukhles,47
5wJ1H6ud777odtZl5gG507,211174.0,"['desi pop', 'modern bollywood']",Vishal Mishra,66
4qYpTEJThZ8FC8KzyFrSWW,24992.0,"['afro dancehall', 'afropop', 'alte', 'nigerian pop']",Boj,51
1AavJbrmyu2LqJRUmR05RY,3410.0,"['environmental', 'sleep']",Ocean Sounds Collection,59
4lEAIuvfZ8flvAGsW60HUH,0.0,[],Bangi,0
2jrGv71f6bOVIdjjlMqLm6,1.0,[],Sanaya Pithawala,0
61z6JxRffr86Z3eE7wwZzI,14.0,[],Shouvik Roy,0
4jewzLVqdq1ErwLbkbqNoq,11.0,[],Project Assegai,0
0IyY5dakn8JaMv8Ws5gpXT,0.0,[],Adel Munkifunk,0
0KaPJHsKvNia6fikixXV5q,1.0,[],Yasin Shahryari,0
2k7xLhBSDkF9oWJCQQG4Ka,13.0,[],Yahya Boushehri,0
7rVV9d6vc4FLT752uRuk71,14660.0,"['desi hip hop', 'tamil pop']",Arivu,63
0n4a5imdLBN24fIrBWoqrv,328492.0,"['opm', 'pinoy hip hop', 'pinoy r&b', 'pinoy trap', 'tagalog rap']",Because,59
1A50WG4Xi1IWiaqnUXYdoc,342.0,['kuduro'],Wild One94,12
1PaOP8AnQ8Le1tm4kIuA0d,80.0,[],Good Day Paradise,0
1doV1JYPVtwxktCps2w8H6,3.0,[],Kamal Aziz,0
50zgSRlFGAha6L1tLNIpZx,13.0,[],Colis,0
6MWn9V7F0sGZoDkClzrUDo,124.0,"['australian hip hop', 'australian trap']",Badboyswiss,9
7t2lAixMNcR1xtXCLSH2Kb,4.0,[],Glenn Eddie Meul,3
08mHDZy0H8LT2Aj5HwBi2G,8.0,[],Rozay Blixky,11
4YIOi9aFNviV1jRQeiNZgO,26563.0,"['afropop', 'azontobeats', 'nigerian hip hop', 'nigerian pop']",Reminisce,40
6NjoujvRrhFcnt9P3U1n0l,104.0,[],Mountain Climate,1
3akwWGeTOYIfbgLjNoZktj,105.0,[],Oscar Monreal Y Su Grupo Zorro,8
0ELuC3BNDALRmyfvSCKMUe,0.0,[],Blacck Ice,0
0EMOUM5aedmf43v8k4Iscn,0.0,[],Crusadez,0
4gdMJYnopf2nEUcanAwstx,103905.0,"['hindi indie', 'indian indie', 'indian singer-songwriter']",Anuv Jain,58
04POExMWjZF6Swukc3qU5P,8.0,[],VenomBeatz Official,0
04QmzBG3uDZhlColnM9zMD,0.0,[],Brown Noise Shushing for Easy Sleeping,0
1uqeg7CDizhaLOzAAZuIua,0.0,[],Siga Nu Betul,0
273uUd9o2PTOauyyk2Svbv,0.0,[],Fahad YAF,0
